hospital_name,region,facility_size_beds,month,day_of_week,visithour,urgency_level,nurse_to_patient_ratio,specialist_availability,wait_time,patient_satisfaction
Valley Health Infirmary,Rural,120,7,6,19,2,0.183,1,224.7,1.0
Metro Care Hospital,Urban,350,10,3,20,2,0.33,1,123.4,2.4
St. Jude General Hospital,Rural,250,7,5,20,3,0.275,1,193.4,1.0
Metro Care Hospital,Urban,350,4,4,20,2,0.212,1,162.9,1.0
Metro Care Hospital,Urban,350,12,5,18,5,0.17,1,261.6,1.0
Riverside Medical Center,Rural,120,5,5,22,5,0.344,0,216.9,1.0
St. Jude General Hospital,Rural,250,3,1,18,5,0.284,1,194.4,1.0
St. Jude General Hospital,Rural,250,4,0,17,1,0.207,1,160.1,1.0
St. Jude General Hospital,Rural,250,4,0,18,5,0.268,1,169.9,1.0
Metro Care Hospital,Urban,350,3,5,10,5,0.251,1,207.6,1.0
Valley Health Infirmary,Rural,120,10,3,2,5,0.241,1,166.9,2.0
St. Jude General Hospital,Rural,250,5,0,7,3,0.268,1,146.0,1.4
Metro Care Hospital,Urban,350,5,5,19,4,0.244,1,203.4,1.0
Riverside Medical Center,Rural,120,11,0,18,2,0.271,1,179.2,1.2
Valley Health Infirmary,Rural,120,7,3,9,4,0.316,1,151.4,1.4
Riverside Medical Center,Rural,120,4,4,15,1,0.348,1,116.5,2.5
Valley Health Infirmary,Rural,120,4,6,4,3,0.283,0,170.5,1.1
Metro Care Hospital,Urban,350,9,5,19,5,0.333,0,193.6,1.0
Northside Community Hospital,Urban,200,6,2,8,3,0.317,1,151.5,2.1
Valley Health Infirmary,Rural,120,4,2,7,2,0.188,0,181.7,1.3
Riverside Medical Center,Rural,120,2,5,10,5,0.301,1,204.2,1.0
Metro Care Hospital,Urban,350,6,1,15,5,0.136,1,258.6,1.0
Valley Health Infirmary,Rural,120,2,4,6,2,0.158,0,217.1,1.0
Northside Community Hospital,Urban,200,5,1,14,4,0.267,1,165.7,1.7
Northside Community Hospital,Urban,200,6,6,23,3,0.241,1,174.4,1.0
St. Jude General Hospital,Rural,250,4,2,20,3,0.245,1,180.0,1.0
