hospital_name,region,facility_size_beds,month,day_of_week,visithour,urgency_level,nurse_to_patient_ratio,specialist_availability,wait_time,patient_satisfaction
Springfield General Hospital,Urban,92,2,5,20,2,0.25,3,105,1
Northside Community Hospital,Rural,38,11,3,2,2,0.25,0,69,3
Northside Community Hospital,Rural,38,9,0,4,1,0.2,1,203,1
Riverside Medical Center,Urban,94,2,1,0,3,0.25,5,88,2
Springfield General Hospital,Urban,74,3,2,16,1,0.25,8,118,1
Summit Health Center,Urban,167,11,2,22,2,0.3333333333333333,7,63,3
Northside Community Hospital,Rural,42,2,2,15,2,0.25,2,116,1
Riverside Medical Center,Urban,84,12,3,20,2,0.3333333333333333,2,81,2
Springfield General Hospital,Urban,87,11,4,2,2,0.25,3,78,2
Springfield General Hospital,Urban,99,7,5,22,4,1.0,4,11,5
Riverside Medical Center,Urban,187,6,5,2,2,0.25,9,106,2
Springfield General Hospital,Urban,53,7,0,10,2,0.25,4,123,1
Springfield General Hospital,Urban,168,1,6,8,1,0.2,1,208,1
Riverside Medical Center,Urban,66,7,0,7,4,0.5,6,22,5
Riverside Medical Center,Urban,147,5,2,3,2,0.25,10,83,2
St. Mary’s Regional Health,Rural,25,12,2,17,2,0.25,2,140,1
Northside Community Hospital,Rural,39,10,2,14,3,0.3333333333333333,2,18,4
Riverside Medical Center,Urban,165,5,4,21,4,1.0,8,16,5
Springfield General Hospital,Urban,126,4,6,21,3,0.3333333333333333,5,23,4
Northside Community Hospital,Rural,36,2,6,18,2,0.3333333333333333,3,64,3
St. Mary’s Regional Health,Rural,24,8,0,1,4,0.5,1,16,5
Riverside Medical Center,Urban,193,12,6,19,2,0.3333333333333333,9,82,3
Summit Health Center,Urban,143,12,5,8,4,0.5,1,15,4
Riverside Medical Center,Urban,116,10,1,5,3,0.3333333333333333,3,32,4
Springfield General Hospital,Urban,93,1,4,1,2,0.25,5,71,3
Springfield General Hospital,Urban,194,5,1,23,4,0.5,8,33,4
St. Mary’s Regional Health,Rural,15,8,4,4,3,0.25,3,41,4
St. Mary’s Regional Health,Rural,47,9,3,20,3,0.3333333333333333,2,30,4
Riverside Medical Center,Urban,200,6,3,3,2,0.3333333333333333,6,103,1
Summit Health Center,Urban,148,9,3,10,3,0.25,7,30,4
Springfield General Hospital,Urban,91,5,3,15,3,0.3333333333333333,6,49,3
Riverside Medical Center,Urban,152,5,4,11,4,0.5,1,13,4
St. Mary’s Regional Health,Rural,35,7,3,0,3,0.3333333333333333,0,41,3
St. Mary’s Regional Health,Rural,43,10,0,19,3,0.25,1,25,4
Summit Health Center,Urban,173,3,5,9,4,1.0,5,12,5
Northside Community Hospital,Rural,19,10,1,22,3,0.25,1,27,4
St. Mary’s Regional Health,Rural,15,9,6,21,3,0.3333333333333333,1,24,4
St. Mary’s Regional Health,Rural,39,7,1,14,2,0.25,0,76,3
Riverside Medical Center,Urban,61,2,2,21,1,0.2,7,170,1
Northside Community Hospital,Rural,28,6,5,8,2,0.3333333333333333,0,43,4
Riverside Medical Center,Urban,98,6,6,21,1,0.2,7,194,1
Summit Health Center,Urban,169,6,6,10,1,0.25,3,211,1
Riverside Medical Center,Urban,139,6,1,15,3,0.3333333333333333,8,27,4
Northside Community Hospital,Rural,16,5,6,6,2,0.25,1,67,3
Springfield General Hospital,Urban,142,10,1,2,4,1.0,7,10,5
Northside Community Hospital,Rural,18,2,3,18,3,0.3333333333333333,0,77,3
St. Mary’s Regional Health,Rural,31,9,2,2,1,0.2,3,102,2
Summit Health Center,Urban,193,6,0,16,3,0.25,1,70,2
Summit Health Center,Urban,102,8,6,8,1,0.25,4,134,1
Springfield General Hospital,Urban,93,9,0,10,3,0.25,10,22,4
Summit Health Center,Urban,196,4,5,1,3,0.25,10,31,4
Springfield General Hospital,Urban,169,1,6,9,3,0.25,2,43,4
Northside Community Hospital,Rural,17,2,4,4,4,1.0,3,29,4
St. Mary’s Regional Health,Rural,19,5,3,10,2,0.25,2,86,2
Springfield General Hospital,Urban,68,12,5,1,2,0.25,7,122,1
Springfield General Hospital,Urban,87,1,4,15,3,0.25,5,52,3
Springfield General Hospital,Urban,88,1,4,10,2,0.25,9,89,2
Riverside Medical Center,Urban,99,3,1,10,4,0.5,10,21,5
Springfield General Hospital,Urban,168,2,0,14,3,0.3333333333333333,2,64,3
Springfield General Hospital,Urban,144,12,5,13,2,0.25,8,125,1
St. Mary’s Regional Health,Rural,50,3,0,23,3,0.25,3,57,3
Summit Health Center,Urban,141,8,4,7,3,0.3333333333333333,1,41,4
Springfield General Hospital,Urban,51,8,6,2,3,0.3333333333333333,5,54,3
Northside Community Hospital,Rural,33,8,2,10,2,0.25,3,141,1
St. Mary’s Regional Health,Rural,20,5,4,0,4,0.5,3,17,5
Summit Health Center,Urban,132,2,3,2,1,0.2,10,304,1
Springfield General Hospital,Urban,90,3,0,4,4,0.5,6,22,4
Summit Health Center,Urban,199,6,5,4,3,0.25,1,68,3
Summit Health Center,Urban,57,6,2,4,4,0.5,2,14,4
St. Mary’s Regional Health,Rural,49,11,0,22,2,0.25,2,129,1
Summit Health Center,Urban,198,5,0,0,2,0.25,6,132,1
Riverside Medical Center,Urban,146,3,2,0,2,0.25,7,59,3
St. Mary’s Regional Health,Rural,39,8,5,8,1,0.2,1,200,1
Northside Community Hospital,Rural,34,8,5,11,2,0.3333333333333333,3,77,2
Northside Community Hospital,Rural,34,9,2,8,3,0.25,1,44,3
Riverside Medical Center,Urban,105,9,3,13,2,0.3333333333333333,4,87,2
Riverside Medical Center,Urban,94,12,1,11,3,0.25,3,63,3
Riverside Medical Center,Urban,146,12,2,8,1,0.2,5,184,1
Springfield General Hospital,Urban,93,11,3,0,3,0.3333333333333333,4,23,4
Northside Community Hospital,Rural,35,10,3,5,2,0.25,2,48,4
Summit Health Center,Urban,86,4,1,18,1,0.2,1,253,1
Springfield General Hospital,Urban,137,8,0,7,1,0.25,4,158,1
St. Mary’s Regional Health,Rural,20,5,1,15,2,0.25,2,87,2
Northside Community Hospital,Rural,38,10,1,10,4,0.5,3,11,5
Northside Community Hospital,Rural,26,7,6,22,4,1.0,0,11,5
Springfield General Hospital,Urban,128,7,3,2,1,0.25,6,216,1
Summit Health Center,Urban,57,2,0,1,3,0.25,8,88,2
Springfield General Hospital,Urban,57,8,4,8,1,0.2,4,221,1
Springfield General Hospital,Urban,61,3,3,16,1,0.2,8,129,1
Springfield General Hospital,Urban,184,6,5,12,1,0.2,1,130,1
Springfield General Hospital,Urban,160,8,5,13,2,0.3333333333333333,7,85,2
St. Mary’s Regional Health,Rural,38,12,6,5,2,0.3333333333333333,1,63,3
Northside Community Hospital,Rural,43,3,1,9,1,0.25,3,201,1
Northside Community Hospital,Rural,35,10,1,19,1,0.25,0,140,1
St. Mary’s Regional Health,Rural,33,7,5,17,1,0.25,3,192,1
St. Mary’s Regional Health,Rural,32,8,5,1,2,0.3333333333333333,1,61,3
Summit Health Center,Urban,109,3,4,0,3,0.25,9,30,4
Summit Health Center,Urban,92,6,1,7,2,0.25,8,81,2
Summit Health Center,Urban,55,2,6,15,1,0.2,9,223,1
Northside Community Hospital,Rural,31,8,5,7,4,0.5,1,8,5
Springfield General Hospital,Urban,120,9,2,4,1,0.2,10,170,1
Northside Community Hospital,Rural,38,12,2,17,2,0.3333333333333333,1,93,2
Summit Health Center,Urban,165,11,6,22,2,0.3333333333333333,6,38,4
Summit Health Center,Urban,180,1,5,3,4,0.5,5,16,4
St. Mary’s Regional Health,Rural,30,7,6,5,1,0.25,1,171,1
Summit Health Center,Urban,62,1,2,3,1,0.25,3,263,1
St. Mary’s Regional Health,Rural,28,9,5,14,3,0.3333333333333333,2,25,5
Summit Health Center,Urban,134,7,3,6,1,0.25,5,234,1
Springfield General Hospital,Urban,178,3,1,5,2,0.3333333333333333,9,96,1
Northside Community Hospital,Rural,45,7,3,2,2,0.3333333333333333,1,99,1
Summit Health Center,Urban,127,7,1,22,3,0.25,8,30,4
Summit Health Center,Urban,89,6,6,8,1,0.2,8,85,3
Riverside Medical Center,Urban,149,9,6,0,3,0.3333333333333333,5,29,4
Northside Community Hospital,Rural,25,9,2,1,4,0.5,0,12,5
Northside Community Hospital,Rural,36,7,6,23,4,0.5,2,14,5
Springfield General Hospital,Urban,80,5,2,22,3,0.25,4,48,4
Summit Health Center,Urban,139,4,1,2,2,0.25,7,97,2
Summit Health Center,Urban,82,12,4,1,4,0.5,10,22,4
Northside Community Hospital,Rural,29,7,0,2,3,0.25,0,58,3
Springfield General Hospital,Urban,140,6,4,11,2,0.25,5,118,1
