month,day_of_week,hour,low_acuity_percent,fast_track_open,fast_track_capacity,fast_track_queue,low_acuity_bottleneck_level,data_source_note
1,0,8,28.6,1,12,1,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,0,12,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,0,18,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,0,22,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,1,8,60.0,1,12,2,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,1,12,33.3,1,12,0,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,1,18,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,1,22,60.0,1,12,2,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,2,8,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,2,12,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,2,18,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,2,22,66.7,1,12,2,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,3,8,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,3,12,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,3,18,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,3,22,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,4,8,57.1,1,12,2,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,4,12,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,4,18,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,4,22,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,5,8,0.0,1,12,0,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,5,12,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,5,18,60.0,1,12,2,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,5,22,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,6,8,75.0,1,12,2,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,6,12,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,6,18,66.7,1,12,1,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
1,6,22,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
4,0,8,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
4,0,12,60.0,1,12,2,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
4,0,18,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
4,0,22,66.7,1,12,1,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
4,1,8,50.0,1,12,1,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
4,1,12,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
4,1,18,71.4,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
4,1,22,35.0,1,12,3,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
4,2,8,33.3,1,12,0,Low,Kaggle-derived simulated/prototype low-acuity patient distributions. Fast-track queue sizes projected from low-urgency arrival rates.
